개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
3010000,CDFF4220002008000001,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 1관,2024-04-19 16:01,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002008000002,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 2관,2025-01-02 18:49,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002008000003,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 3관,2025-01-02 18:50,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002008000004,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 4관,2025-01-02 18:40,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002008000005,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 5관,2025-01-02 18:40,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002008000006,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 6관,2025-01-02 18:40,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002008000007,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 7관,2025-01-02 18:41,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002006000004,2006-04-06,,1,영업/정상,13,영업중,,,,,,,100-861,서울특별시 중구 충무로2가 65-9번지 ,서울특별시 중구 퇴계로 123  (충무로2가),,인사이드시네마,2006-04-06 13:28,I,59:59.0,,198636.2504,451005.7216,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20060406,
3010000,CDFF4220002008000008,2008-09-10,,1,영업/정상,13,영업중,,,,,02-2270-0602,,,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",,(주)지원엠엠시네마 동대문지점 8관,2025-01-02 18:51,U,40:00.0,,200573.6413,451621.0365,영화상영관,영화상영관,23,,,0,16,7,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20080910,상업지역
3010000,CDFF4220002009000001,2009-02-11,,1,영업/정상,13,영업중,,,,,02-2285-0818,,,서울특별시 중구 봉래동2가 122번지 서울역 ,"서울특별시 중구 청파로 426 (봉래동2가,서울역)",,KTX시네마,2015-02-06 13:15,I,59:59.0,,197242.9948,450658.9479,영화상영관,영화상영관,1,,,0,1,0,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20090211,상업지역
